,time,demand
0,0,0.00378603
1,3600,0.003782465
2,7200,0.003768205
3,10800,0.00375038
4,14400,0.003739685
5,18000,0.00371473
6,21600,0.0037076
7,25200,0.00376464
8,28800,0.00378603
9,32400,0.003789595
10,36000,0.003775335
11,39600,0.00375038
12,43200,0.003739685
13,46800,0.00372186
14,50400,0.00372186
15,54000,0.00373612
16,57600,0.00375038
17,61200,0.00377177
18,64800,0.0037789
19,68400,0.003782465
20,72000,0.003789595
21,75600,0.003796725
22,79200,0.00380029
23,82800,0.003803855
24,86400,0.003762858