"time","electrolyser_simple.Pelec","electrolyser_detailed1.Pelec"
0,49,49
0.25,48.6427,48.5842
0.5,48.6301,48.5305
0.75,48.6175,48.4893
1,48.6049,48.4569
1,48.6049,48.4569
1,48.6049,48.4569
1.25,48.5548,48.3934
1.5,48.5044,48.3346
1.75,48.454,48.2794
2,48.4036,48.2267
2,48.4036,48.2267
2,48.4036,48.2267
2.25,48.3407,48.1635
2.5,48.2777,48.1017
2.75,48.2147,48.0409
3,48.1518,47.9809
3,48.1518,47.9809
3,48.1518,47.9809
3.25,48.1138,47.946
3.5,48.076,47.9113
3.75,48.0383,47.8765
4,48.0005,47.8418
4,48.0005,47.8418
4,48.0005,47.8418
4.25,47.9129,47.7579
4.5,47.8248,47.6744
4.75,47.7368,47.5915
5,47.6488,47.5092
5,47.6488,47.5092
5,47.6488,47.5092
5.25,47.6231,47.4884
5.5,47.598,47.4674
5.75,47.5728,47.4457
6,47.5477,47.4237
6,47.5477,47.4237
6,47.5477,47.4237
6.25,47.7468,47.6222
6.5,47.9481,47.8187
6.75,48.1495,48.0123
7,48.351,48.2035
7,48.351,48.2035
7,48.351,48.2035
7.25,48.4277,48.2705
7.5,48.5033,48.3374
7.75,48.5789,48.405
8,48.6546,48.4731
8,48.6546,48.4731
8,48.6546,48.4731
8.25,48.6677,48.4805
8.5,48.6804,48.4885
8.75,48.693,48.4976
9,48.7055,48.5073
9,48.7055,48.5073
9,48.7055,48.5073
9.25,48.6557,48.4563
9.5,48.6052,48.4061
9.75,48.5548,48.357
10,48.5044,48.3087
10,48.5044,48.3087
10,48.5044,48.3087
10.25,48.4165,48.224
10.5,48.3283,48.14
10.75,48.2401,48.0568
11,48.1521,47.9743
11,48.1521,47.9743
11,48.1521,47.9743
11.25,48.1138,47.941
11.5,48.076,47.9077
11.75,48.0383,47.874
12,48.0005,47.84
12,48.0005,47.84
12,48.0005,47.84
12.25,47.9378,47.7812
12.5,47.8749,47.7224
12.75,47.812,47.6638
13,47.7492,47.6057
13,47.7492,47.6057
13,47.7492,47.6057
13.25,47.7486,47.6084
13.5,47.7486,47.611
13.75,47.7486,47.6129
14,47.7486,47.6142
14,47.7486,47.6142
14,47.7486,47.6142
14.25,47.7985,47.6643
14.5,47.8488,47.7137
14.75,47.8991,47.7622
15,47.9494,47.8102
15,47.9494,47.8102
15,47.9494,47.8102
15.25,47.9997,47.8577
15.5,48.0501,47.9049
15.75,48.1004,47.952
16,48.1508,47.9988
16,48.1508,47.9988
16,48.1508,47.9988
16.25,48.2261,48.0701
16.5,48.3017,48.1411
16.75,48.3773,48.2118
17,48.4529,48.2821
17,48.4529,48.2821
17,48.4529,48.2821
17.25,48.4785,48.3032
17.5,48.5037,48.3245
17.75,48.5289,48.3463
18,48.5541,48.3685
18,48.5541,48.3685
18,48.5541,48.3685
18.25,48.5669,48.3788
18.5,48.5795,48.3894
18.75,48.5921,48.4002
19,48.6046,48.4113
19,48.6046,48.4113
19,48.6046,48.4113
19.25,48.6298,48.4348
19.5,48.655,48.4583
19.75,48.6802,48.4817
20,48.7053,48.505
20,48.7053,48.505
20,48.7053,48.505
20.25,48.7307,48.5284
20.5,48.7559,48.5517
20.75,48.7812,48.575
21,48.8062,48.5982
21,48.8062,48.5982
21,48.8062,48.5982
21.25,48.8191,48.6092
21.5,48.8317,48.6203
21.75,48.8444,48.6315
22,48.857,48.6428
22,48.857,48.6428
22,48.857,48.6428
22.25,48.8696,48.6543
22.5,48.8822,48.6657
22.75,48.8948,48.6772
23,48.9074,48.6887
23,48.9074,48.6887
23,48.9074,48.6887
23.25,48.6199,48.4056
23.5,48.3301,48.1252
23.75,48.0404,47.8486
24,47.7515,47.5748
24,47.7515,47.5748
24,47.7515,47.5748
24.25,47.7237,47.5603
24.5,47.6985,47.5452
24.75,47.6734,47.5278
25,47.6483,47.5089
25,47.6483,47.5089
25,47.6483,47.5089
25.25,47.648,47.513
25.5,47.648,47.5163
25.75,47.648,47.5187
26,47.648,47.5204
26,47.648,47.5204
26,47.648,47.5204
26.25,47.6605,47.5339
26.5,47.673,47.5469
26.75,47.6856,47.5596
27,47.6981,47.5719
27,47.6981,47.5719
27,47.6981,47.5719
27.25,47.6983,47.5718
27.5,47.6983,47.5716
27.75,47.6983,47.5715
28,47.6983,47.5714
28,47.6983,47.5714
28,47.6983,47.5714
28.25,47.6609,47.5345
28.5,47.6232,47.498
28.75,47.5855,47.4619
29,47.5478,47.4262
29,47.5478,47.4262
29,47.5478,47.4262
29.25,47.5226,47.403
29.5,47.4974,47.3798
29.75,47.4723,47.3567
30,47.4473,47.3336
30,47.4473,47.3336
30,47.4473,47.3336
30.25,47.4594,47.3471
30.5,47.472,47.3604
30.75,47.4845,47.3733
31,47.4971,47.3857
31,47.4971,47.3857
31,47.4971,47.3857
31.25,47.4723,47.3612
31.5,47.4472,47.3368
31.75,47.4221,47.3127
32,47.397,47.2889
32,47.397,47.2889
32,47.397,47.2889
32.25,47.3843,47.2774
32.5,47.3717,47.266
32.75,47.3592,47.2545
33,47.3467,47.2431
33,47.3467,47.2431
33,47.3467,47.2431
33.25,47.3589,47.256
33.5,47.3715,47.2688
33.75,47.3841,47.2813
34,47.3966,47.2935
34,47.3966,47.2935
34,47.3966,47.2935
34.25,47.3843,47.2811
34.5,47.3717,47.2687
34.75,47.3592,47.2565
35,47.3466,47.2445
35,47.3466,47.2445
35,47.3466,47.2445
35.25,47.3838,47.2816
35.5,47.4215,47.3185
35.75,47.4592,47.3548
36,47.4968,47.3907
36,47.4968,47.3907
36,47.4968,47.3907
36.25,47.4225,47.3158
36.5,47.3472,47.2416
36.75,47.2718,47.1687
37,47.1965,47.0967
37,47.1965,47.0967
37,47.1965,47.0967
37.25,47.171,47.0745
37.5,47.1459,47.0522
37.75,47.1208,47.0298
38,47.0957,47.0071
38,47.0957,47.0071
38,47.0957,47.0071
38.25,47.0954,47.0088
38.5,47.0954,47.0102
38.75,47.0954,47.0112
39,47.0954,47.0119
39,47.0954,47.0119
39,47.0954,47.0119
39.25,47.1576,47.0738
39.5,47.2204,47.135
39.75,47.2832,47.1954
40,47.3459,47.2551
40,47.3459,47.2551
40,47.3459,47.2551
40.25,47.3714,47.2775
40.5,47.3965,47.2999
40.75,47.4216,47.3225
41,47.4467,47.345
41,47.4467,47.345
41,47.4467,47.345
41.25,47.5715,47.4665
41.5,47.6972,47.5869
41.75,47.823,47.7061
42,47.9487,47.8244
42,47.9487,47.8244
42,47.9487,47.8244
42.25,48.0746,47.9421
42.5,48.2005,48.0594
42.75,48.3264,48.1764
43,48.4524,48.293
43,48.4524,48.293
43,48.4524,48.293
43.25,48.491,48.3236
43.5,48.5288,48.3548
43.75,48.5666,48.387
44,48.6044,48.4199
44,48.6044,48.4199
44,48.6044,48.4199
44.25,48.6548,48.4657
44.5,48.7052,48.5118
44.75,48.7557,48.5579
45,48.8061,48.6041
45,48.8061,48.6041
45,48.8061,48.6041
45.25,48.8942,48.6873
45.5,48.9825,48.7702
45.75,49.0709,48.8527
46,49.1592,48.9347
46,49.1592,48.9347
46,49.1592,48.9347
46.25,49.2478,49.0166
46.5,49.3362,49.0983
46.75,49.4247,49.1799
47,49.5131,49.2613
47,49.5131,49.2613
47,49.5131,49.2613
47.25,49.4889,49.2321
47.5,49.4636,49.2039
47.75,49.4383,49.1771
48,49.4131,49.1517
48,49.4131,49.1517
48,49.4131,49.1517
48.25,49.3878,49.1264
48.5,49.3625,49.1019
48.75,49.3372,49.0777
49,49.3119,49.0539
49,49.3119,49.0539
49,49.3119,49.0539
49.25,49.3743,49.1161
49.5,49.4376,49.1778
49.75,49.5008,49.2385
50,49.564,49.2983
50,49.564,49.2983
50,49.564,49.2983
50.25,49.552,49.284
50.5,49.5394,49.2699
50.75,49.5267,49.2565
51,49.5142,49.2438
51,49.5142,49.2438
51,49.5142,49.2438
51.25,49.539,49.268
51.5,49.5643,49.2923
51.75,49.5896,49.3163
52,49.6149,49.34
52,49.6149,49.34
52,49.6149,49.34
52.25,49.6152,49.3391
52.5,49.6152,49.3383
52.75,49.6152,49.3377
53,49.6152,49.3372
53,49.6152,49.3372
53,49.6152,49.3372
53.25,49.565,49.2878
53.5,49.5144,49.2388
53.75,49.4638,49.1906
54,49.4133,49.143
54,49.4133,49.143
54,49.4133,49.143
54.25,49.3126,49.0465
54.5,49.2115,48.9507
54.75,49.1105,48.8558
55,49.0095,48.7622
55,49.0095,48.7622
55,49.0095,48.7622
55.25,48.7709,48.5324
55.5,48.5312,48.305
55.75,48.2918,48.0795
56,48.0527,47.8555
56,48.0527,47.8555
56,48.0527,47.8555
56.25,47.8884,47.7059
56.5,47.7249,47.5564
56.75,47.5615,47.4065
57,47.3982,47.2564
57,47.3982,47.2564
57,47.3982,47.2564
57.25,47.1229,46.9956
57.5,46.847,46.7356
57.75,46.5713,46.4769
58,46.296,46.2191
58,46.296,46.2191
58,46.296,46.2191
58.25,46.4424,46.3785
58.5,46.5927,46.5353
58.75,46.743,46.6874
59,46.8935,46.8359
59,46.8935,46.8359
59,46.8935,46.8359
59.25,46.6214,46.5646
59.5,46.3459,46.2952
59.75,46.0707,46.0297
60,45.7958,45.7671
60,45.7958,45.7671
60,45.7958,45.7671
60.25,45.6695,45.6534
60.5,45.5447,45.54
60.75,45.4199,45.4259
61,45.2952,45.3112
61,45.2952,45.3112
61,45.2952,45.3112
61.25,45.393,45.4167
61.5,45.4928,45.5202
61.75,45.5927,45.6208
62,45.6926,45.7192
62,45.6926,45.7192
62,45.6926,45.7192
62.25,45.5325,45.5588
62.5,45.3703,45.3992
62.75,45.2081,45.2421
63,45.0468,45.0867
63,45.0468,45.0867
63,45.0468,45.0867
63.25,44.9706,45.0182
63.5,44.8958,44.9499
63.75,44.8211,44.8813
64,44.7464,44.8124
64,44.7464,44.8124
64,44.7464,44.8124
64.25,44.7704,44.8412
64.5,44.7953,44.8692
64.75,44.8202,44.8959
65,44.845,44.9216
65,44.845,44.9216
65,44.845,44.9216
65.25,44.8207,44.8978
65.5,44.7958,44.8737
65.75,44.7709,44.8498
66,44.746,44.8261
66,44.746,44.8261
66,44.746,44.8261
66.25,44.8075,44.8883
66.5,44.8697,44.9501
66.75,44.932,45.0108
67,44.9943,45.0706
67,44.9943,45.0706
67,44.9943,45.0706
67.25,45.069,45.1425
67.5,45.1438,45.2137
67.75,45.2186,45.2846
68,45.2934,45.3551
68,45.2934,45.3551
68,45.2934,45.3551
68.25,45.4548,45.5113
68.5,45.6171,45.6666
68.75,45.7795,45.8208
69,45.9418,45.9741
69,45.9418,45.9741
69,45.9418,45.9741
69.25,46.0673,46.0899
69.5,46.1923,46.2056
69.75,46.3174,46.3213
70,46.4424,46.4372
70,46.4424,46.4372
70,46.4424,46.4372
70.25,46.4561,46.4427
70.5,46.4686,46.4491
70.75,46.4812,46.457
71,46.4937,46.4658
71,46.4937,46.4658
71,46.4937,46.4658
71.25,45.8118,45.7888
71.5,45.1254,45.1187
71.75,44.4406,44.4577
72,43.7573,43.803
72,43.7573,43.803
72,43.7573,43.803
72.25,43.7022,43.7756
72.5,43.6526,43.7473
72.75,43.603,43.7142
73,43.5534,43.6776
73,43.5534,43.6776
73,43.5534,43.6776
73.25,43.6021,43.7362
73.5,43.6517,43.7923
73.75,43.7014,43.8458
74,43.7509,43.8974
74,43.7509,43.8974
74,43.7509,43.8974
74.25,43.8252,43.9722
74.5,43.8997,44.0458
74.75,43.9742,44.1183
75,44.0487,44.1901
75,44.0487,44.1901
75,44.0487,44.1901
75.25,44.1109,44.249
75.5,44.1731,44.3077
75.75,44.2352,44.3662
76,44.2973,44.4245
76,44.2973,44.4245
76,44.2973,44.4245
76.25,44.3595,44.4828
76.5,44.4217,44.5411
76.75,44.4839,44.5993
77,44.5461,44.6574
77,44.5461,44.6574
77,44.5461,44.6574
77.25,44.5589,44.6666
77.5,44.5714,44.676
77.75,44.5838,44.686
78,44.5962,44.6965
78,44.5962,44.6965
78,44.5962,44.6965
78.25,44.4237,44.5234
78.5,44.2497,44.3521
78.75,44.0757,44.1831
79,43.9019,44.016
79,43.9019,44.016
79,43.9019,44.016
79.25,43.7158,43.8377
79.5,43.5297,43.6605
79.75,43.3438,43.4841
80,43.158,43.3085
80,43.158,43.3085
80,43.158,43.3085
80.25,42.8987,43.0595
80.5,42.639,42.8115
80.75,42.3795,42.5646
81,42.1204,42.3186
81,42.1204,42.3186
81,42.1204,42.3186
81.25,41.8368,42.0486
81.5,41.5534,41.7792
81.75,41.2702,41.5104
82,40.9875,41.242
82,40.9875,41.242
82,40.9875,41.242
82.25,40.717,40.9861
82.5,40.4469,40.7304
82.75,40.1771,40.4747
83,39.9082,40.2191
83,39.9082,40.2191
83,39.9082,40.2191
83.25,40.0389,40.366
83.5,40.1737,40.5109
83.75,40.3085,40.6515
84,40.4434,40.7888
84,40.4434,40.7888
84,40.4434,40.7888
84.25,40.5054,40.8504
84.5,40.5668,40.9106
84.75,40.6282,40.9703
85,40.6894,41.0295
85,40.6894,41.0295
85,40.6894,41.0295
85.25,40.5197,40.8561
85.5,40.3479,40.684
85.75,40.1763,40.5145
86,40.0048,40.3467
86,40.0048,40.3467
86,40.0048,40.3467
86.25,40.0275,40.3757
86.5,40.0521,40.4045
86.75,40.0766,40.4319
87,40.101,40.4581
87,40.101,40.4581
87,40.101,40.4581
87.25,39.9798,40.3356
87.5,39.8573,40.211
87.75,39.7349,40.0859
88,39.6126,39.9604
88,39.6126,39.9604
88,39.6126,39.9604
88.25,39.6115,39.9578
88.5,39.6115,39.9562
88.75,39.6115,39.9547
89,39.6115,39.9531
89,39.6115,39.9531
89,39.6115,39.9531
89.25,39.6115,39.9517
89.5,39.6115,39.9508
89.75,39.6115,39.9502
90,39.6115,39.9498
90,39.6115,39.9498
90,39.6115,39.9498
90.25,39.6115,39.9499
90.5,39.6115,39.9507
90.75,39.6115,39.9519
91,39.6115,39.9535
91,39.6115,39.9535
91,39.6115,39.9535
91.25,39.6115,39.9553
91.5,39.6115,39.9572
91.75,39.6115,39.959
92,39.6115,39.9609
92,39.6115,39.9609
92,39.6115,39.9609
92.25,39.6115,39.963
92.5,39.6115,39.9652
92.75,39.6115,39.9675
93,39.6115,39.9698
93,39.6115,39.9698
93,39.6115,39.9698
93.25,39.6236,39.9848
93.5,39.6359,40.0002
93.75,39.6481,40.0158
94,39.6603,40.0314
94,39.6603,40.0314
94,39.6603,40.0314
94.25,39.7454,40.1202
94.5,39.8311,40.2075
94.75,39.9168,40.2932
95,40.0025,40.3778
95,40.0025,40.3778
95,40.0025,40.3778
95.25,40.6842,41.0613
95.5,41.3727,41.741
95.75,42.0628,42.4137
96,42.7542,43.0806
96,42.7542,43.0806
96,42.7542,43.0806
96.25,42.7481,43.0431
96.5,42.7358,43.0082
96.75,42.7234,42.9797
97,42.7111,42.9558
97,42.7111,42.9558
97,42.7111,42.9558
97.25,42.7477,42.9843
97.5,42.7848,43.0147
97.75,42.8219,43.0463
